date,store_id,product_id,units_sold,price,promo_flag
2024-01-01,STORE-01,PROD-01,76,12.02,0
2024-01-02,STORE-01,PROD-01,82,7.61,0
2024-01-03,STORE-01,PROD-01,83,5.93,0
2024-01-04,STORE-01,PROD-01,78,42.46,0
2024-01-05,STORE-01,PROD-01,70,18.69,0
2024-01-06,STORE-01,PROD-01,84,24.44,0
2024-01-07,STORE-01,PROD-01,80,18.15,0
2024-01-08,STORE-01,PROD-01,77,25.52,0
2024-01-09,STORE-01,PROD-01,75,31.66,0
2024-01-10,STORE-01,PROD-01,91,32.34,1
2024-01-11,STORE-01,PROD-01,71,35.79,0
2024-01-12,STORE-01,PROD-01,74,10.49,0
2024-01-13,STORE-01,PROD-01,100,19.03,0
2024-01-14,STORE-01,PROD-01,81,29.6,0
2024-01-15,STORE-01,PROD-01,84,8.98,0
2024-01-16,STORE-01,PROD-01,80,7.04,0
2024-01-17,STORE-01,PROD-01,67,42.29,0
2024-01-18,STORE-01,PROD-01,73,17.64,0
2024-01-19,STORE-01,PROD-01,82,8.35,0
2024-01-20,STORE-01,PROD-01,92,39.75,0
2024-01-21,STORE-01,PROD-01,107,39.71,0
2024-01-22,STORE-01,PROD-01,89,21.13,0
2024-01-23,STORE-01,PROD-01,84,19.89,0
2024-01-24,STORE-01,PROD-01,90,18.99,0
2024-01-25,STORE-01,PROD-01,89,44.92,0
2024-01-26,STORE-01,PROD-01,94,10.38,0
2024-01-27,STORE-01,PROD-01,104,39.69,0
2024-01-28,STORE-01,PROD-01,116,28.52,0
2024-01-29,STORE-01,PROD-01,85,19.15,0
2024-01-30,STORE-01,PROD-01,82,45.84,0
2024-01-31,STORE-01,PROD-01,98,15.3,0
2024-02-01,STORE-01,PROD-01,81,18.04,0
2024-02-02,STORE-01,PROD-01,94,41.17,0
2024-02-03,STORE-01,PROD-01,107,45.17,0
2024-02-04,STORE-01,PROD-01,97,15.26,0
2024-02-05,STORE-01,PROD-01,84,41.81,0
2024-02-06,STORE-01,PROD-01,87,23.78,0
2024-02-07,STORE-01,PROD-01,86,10.39,0
2024-02-08,STORE-01,PROD-01,87,28.35,0
2024-02-09,STORE-01,PROD-01,92,21.36,0
2024-02-10,STORE-01,PROD-01,86,17.82,0
2024-02-11,STORE-01,PROD-01,150,32.43,1
2024-02-12,STORE-01,PROD-01,88,11.52,0
2024-02-13,STORE-01,PROD-01,93,49.35,0
2024-02-14,STORE-01,PROD-01,101,15.69,0
2024-02-15,STORE-01,PROD-01,98,21.55,0
2024-02-16,STORE-01,PROD-01,96,9.06,0
2024-02-17,STORE-01,PROD-01,134,19.44,0
2024-02-18,STORE-01,PROD-01,111,35.49,0
2024-02-19,STORE-01,PROD-01,123,28.04,1
2024-02-20,STORE-01,PROD-01,82,36.09,0
2024-02-21,STORE-01,PROD-01,97,47.15,0
2024-02-22,STORE-01,PROD-01,86,46.61,0
2024-02-23,STORE-01,PROD-01,90,16.61,0
2024-02-24,STORE-01,PROD-01,115,28.83,0
2024-02-25,STORE-01,PROD-01,127,9.19,0
2024-02-26,STORE-01,PROD-01,97,20.26,0
2024-02-27,STORE-01,PROD-01,102,37.67,0
2024-02-28,STORE-01,PROD-01,97,33.89,0
2024-02-29,STORE-01,PROD-01,98,12.27,0
2024-03-01,STORE-01,PROD-01,98,5.23,0
2024-03-02,STORE-01,PROD-01,106,29.69,0
2024-03-03,STORE-01,PROD-01,101,37.05,0
2024-03-04,STORE-01,PROD-01,102,19.64,0
2024-03-05,STORE-01,PROD-01,105,34.59,0
2024-03-06,STORE-01,PROD-01,100,9.22,0
2024-03-07,STORE-01,PROD-01,88,48.79,0
2024-03-08,STORE-01,PROD-01,89,45.14,0
2024-03-09,STORE-01,PROD-01,116,30.96,0
